Item 1,Item 2,Item 3,Item 4,Item 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,semi-finished bread,margarine,ready soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,yogurt,cream cheese,meat spreads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,condensed milk,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,yogurt,rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,white bread,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes,,,,,,,,,,,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sugar,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,cream cheese,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,,,,,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,rolls/buns,spices,bottled water,Protein shakes,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,beverages,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
